title,artists,year,youtube_query
Centerfold,The J. Geils Band,1981,Centerfold The J. Geils Band
Chariots Of Fire - Titles,Vangelis,1981,Chariots Of Fire - Titles Vangelis
Endless Love,Diana Ross & Lionel Richie,1981,Endless Love Diana Ross & Lionel Richie
I Can't Go For That (No Can Do),Daryl Hall John Oates,1981,I Can't Go For That (No Can Do) Daryl Hall John Oates
Jessie's Girl,Rick Springfield,1981,Jessie's Girl Rick Springfield
Kiss On My List,Daryl Hall John Oates,1981,Kiss On My List Daryl Hall John Oates
Medley,Stars On 45,1981,Medley Stars On 45
Morning Train (Nine To Five),Sheena Easton,1981,Morning Train (Nine To Five) Sheena Easton
Physical,Olivia Newton-John,1981,Physical Olivia Newton-John
Private Eyes,Daryl Hall John Oates,1981,Private Eyes Daryl Hall John Oates
Rapture,Blondie,1981,Rapture Blondie
The One That You Love,Air Supply,1981,The One That You Love Air Supply
Abracadabra,The Steve Miller Band,1982,Abracadabra The Steve Miller Band
Africa,Toto,1982,Africa Toto
"Baby, Come To Me",Patti Austin With James Ingram,1982,"Baby, Come To Me Patti Austin With James Ingram"
Don't You Want Me,The Human League,1982,Don't You Want Me The Human League
Down Under,Men At Work,1982,Down Under Men At Work
Ebony And Ivory,Paul McCartney And Stevie Wonder,1982,Ebony And Ivory Paul McCartney And Stevie Wonder
Eye Of The Tiger,Survivor,1982,Eye Of The Tiger Survivor
Hard To Say I'm Sorry,Chicago,1982,Hard To Say I'm Sorry Chicago
I Love Rock 'N Roll,Joan Jett & the Blackhearts,1982,I Love Rock 'N Roll Joan Jett & the Blackhearts
Jack & Diane,John Cougar,1982,Jack & Diane John Cougar
Maneater,Daryl Hall John Oates,1982,Maneater Daryl Hall John Oates
Mickey,Toni Basil,1982,Mickey Toni Basil
Up Where We Belong,Joe Cocker And Jennifer Warnes,1982,Up Where We Belong Joe Cocker And Jennifer Warnes
Who Can It Be Now?,Men At Work,1982,Who Can It Be Now? Men At Work
All Night Long (All Night),Lionel Richie,1983,All Night Long (All Night) Lionel Richie
Beat It,Michael Jackson,1983,Beat It Michael Jackson
Billie Jean,Michael Jackson,1983,Billie Jean Michael Jackson
Come On Eileen,Dexy's Midnight Runners,1983,Come On Eileen Dexy's Midnight Runners
Every Breath You Take,The Police,1983,Every Breath You Take The Police
Flashdance...What A Feeling,Irene Cara,1983,Flashdance...What A Feeling Irene Cara
Islands In The Stream,Kenny Rogers Duet With Dolly Parton,1983,Islands In The Stream Kenny Rogers Duet With Dolly Parton
Karma Chameleon,Culture Club,1983,Karma Chameleon Culture Club
Maniac,Michael Sembello,1983,Maniac Michael Sembello
Owner Of A Lonely Heart,Yes,1983,Owner Of A Lonely Heart Yes
Say Say Say,Paul McCartney And Michael Jackson,1983,Say Say Say Paul McCartney And Michael Jackson
Sweet Dreams (Are Made Of This),Eurythmics,1983,Sweet Dreams (Are Made Of This) Eurythmics
Total Eclipse Of The Heart,Bonnie Tyler,1983,Total Eclipse Of The Heart Bonnie Tyler
When I'm With You,Sheriff,1983,When I'm With You Sheriff
Against All Odds (Take A Look At Me Now),Phil Collins,1984,Against All Odds (Take A Look At Me Now) Phil Collins
Careless Whisper,Wham! Featuring George Michael,1984,Careless Whisper Wham! Featuring George Michael
Caribbean Queen (No More Love On The Run),Billy Ocean,1984,Caribbean Queen (No More Love On The Run) Billy Ocean
Footloose,Kenny Loggins,1984,Footloose Kenny Loggins
Ghostbusters,Ray Parker Jr.,1984,Ghostbusters Ray Parker Jr.
Hello,Lionel Richie,1984,Hello Lionel Richie
I Just Called To Say I Love You,Stevie Wonder,1984,I Just Called To Say I Love You Stevie Wonder
Jump,Van Halen,1984,Jump Van Halen
Missing You,John Waite,1984,Missing You John Waite
Out Of Touch,Daryl Hall John Oates,1984,Out Of Touch Daryl Hall John Oates
Red Red Wine,UB40,1984,Red Red Wine UB40
Wake Me Up Before You Go-Go,Wham!,1984,Wake Me Up Before You Go-Go Wham!
What's Love Got To Do With It,Tina Turner,1984,What's Love Got To Do With It Tina Turner
When Doves Cry,Prince,1984,When Doves Cry Prince
Broken Wings,Mr. Mister,1985,Broken Wings Mr. Mister
Crazy For You,Madonna,1985,Crazy For You Madonna
Don't You (Forget About Me),Simple Minds,1985,Don't You (Forget About Me) Simple Minds
Everybody Wants To Rule The World,Tears For Fears,1985,Everybody Wants To Rule The World Tears For Fears
Everytime You Go Away,Paul Young,1985,Everytime You Go Away Paul Young
How Will I Know,Whitney Houston,1985,How Will I Know Whitney Houston
Miami Vice Theme,Jan Hammer,1985,Miami Vice Theme Jan Hammer
Money For Nothing,Dire Straits,1985,Money For Nothing Dire Straits
Oh Sheila,Ready For The World,1985,Oh Sheila Ready For The World
Saving All My Love For You,Whitney Houston,1985,Saving All My Love For You Whitney Houston
St. Elmo's Fire (Man In Motion),John Parr,1985,St. Elmo's Fire (Man In Motion) John Parr
Take On Me,a-ha,1985,Take On Me a-ha
That's What Friends Are For,Dionne & Friends,1985,That's What Friends Are For Dionne & Friends
We Built This City,Starship,1985,We Built This City Starship
Addicted To Love,Robert Palmer,1986,Addicted To Love Robert Palmer
"Glory Of Love (Theme From ""The Karate Kid Part II"")",Peter Cetera,1986,"Glory Of Love (Theme From ""The Karate Kid Part II"") Peter Cetera"
Higher Love,Steve Winwood,1986,Higher Love Steve Winwood
Holding Back The Years,Simply Red,1986,Holding Back The Years Simply Red
Livin' On A Prayer,Bon Jovi,1986,Livin' On A Prayer Bon Jovi
On My Own,Patti LaBelle & Michael McDonald,1986,On My Own Patti LaBelle & Michael McDonald
Shake You Down,Gregory Abbott,1986,Shake You Down Gregory Abbott
Sledgehammer,Peter Gabriel,1986,Sledgehammer Peter Gabriel
"Take My Breath Away (Love Theme From ""Top Gun"")",Berlin,1986,"Take My Breath Away (Love Theme From ""Top Gun"") Berlin"
The Next Time I Fall,Peter Cetera With Amy Grant,1986,The Next Time I Fall Peter Cetera With Amy Grant
The Way It Is,Bruce Hornsby & The Range,1986,The Way It Is Bruce Hornsby & The Range
There'll Be Sad Songs (To Make You Cry),Billy Ocean,1986,There'll Be Sad Songs (To Make You Cry) Billy Ocean
Walk Like An Egyptian,The Bangles,1986,Walk Like An Egyptian The Bangles
You Give Love A Bad Name,Bon Jovi,1986,You Give Love A Bad Name Bon Jovi
(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes,1987,(I've Had) The Time Of My Life Bill Medley & Jennifer Warnes
Alone,Heart,1987,Alone Heart
Always,Atlantic Starr,1987,Always Atlantic Starr
Faith,George Michael,1987,Faith George Michael
Got My Mind Set On You,George Harrison,1987,Got My Mind Set On You George Harrison
Heaven Is A Place On Earth,Belinda Carlisle,1987,Heaven Is A Place On Earth Belinda Carlisle
Here I Go Again,Whitesnake,1987,Here I Go Again Whitesnake
I Think We're Alone Now,Tiffany,1987,I Think We're Alone Now Tiffany
La Bamba,Los Lobos,1987,La Bamba Los Lobos
Mony Mony,Billy Idol,1987,Mony Mony Billy Idol
Need You Tonight,INXS,1987,Need You Tonight INXS
Never Gonna Give You Up,Rick Astley,1987,Never Gonna Give You Up Rick Astley
Nothing's Gonna Stop Us Now,Starship,1987,Nothing's Gonna Stop Us Now Starship
You Keep Me Hangin' On,Kim Wilde,1987,You Keep Me Hangin' On Kim Wilde
Anything For You,Gloria Estefan & Miami Sound Machine,1988,Anything For You Gloria Estefan & Miami Sound Machine
"Baby, I Love Your Way/Freebird Medley",Will To Power,1988,"Baby, I Love Your Way/Freebird Medley Will To Power"
"Don't Worry, Be Happy (From ""Cocktail"")",Bobby McFerrin,1988,"Don't Worry, Be Happy (From ""Cocktail"") Bobby McFerrin"
Groovy Kind Of Love,Phil Collins,1988,Groovy Kind Of Love Phil Collins
Hold On To The Nights,Richard Marx,1988,Hold On To The Nights Richard Marx
"Kokomo (From""Cocktail"" )",The Beach Boys,1988,"Kokomo (From""Cocktail"" ) The Beach Boys"
Look Away,Chicago,1988,Look Away Chicago
Love Bites,Def Leppard,1988,Love Bites Def Leppard
My Prerogative,Bobby Brown,1988,My Prerogative Bobby Brown
Straight Up,Paula Abdul,1988,Straight Up Paula Abdul
Sweet Child O' Mine,Guns N' Roses,1988,Sweet Child O' Mine Guns N' Roses
The Flame,Cheap Trick,1988,The Flame Cheap Trick
"Wild, Wild West",The Escape Club,1988,"Wild, Wild West The Escape Club"
Wishing Well,Terence Trent D'Arby,1988,Wishing Well Terence Trent D'Arby
Baby Don't Forget My Number,Milli Vanilli,1989,Baby Don't Forget My Number Milli Vanilli
Blame It On The Rain,Milli Vanilli,1989,Blame It On The Rain Milli Vanilli
Forever Your Girl,Paula Abdul,1989,Forever Your Girl Paula Abdul
Girl I'm Gonna Miss You,Milli Vanilli,1989,Girl I'm Gonna Miss You Milli Vanilli
How Am I Supposed To Live Without You,Michael Bolton,1989,How Am I Supposed To Live Without You Michael Bolton
I'll Be Loving You (Forever),New Kids On The Block,1989,I'll Be Loving You (Forever) New Kids On The Block
I'll Be There For You,Bon Jovi,1989,I'll Be There For You Bon Jovi
If You Don't Know Me By Now,Simply Red,1989,If You Don't Know Me By Now Simply Red
Listen To Your Heart,Roxette,1989,Listen To Your Heart Roxette
Opposites Attract,Paula Abdul (Duet With The Wild Pair),1989,Opposites Attract Paula Abdul (Duet With The Wild Pair)
"Rock On (From ""Dream A Little Dream"")",Michael Damian,1989,"Rock On (From ""Dream A Little Dream"") Michael Damian"
She Drives Me Crazy,Fine Young Cannibals,1989,She Drives Me Crazy Fine Young Cannibals
When I See You Smile,Bad English,1989,When I See You Smile Bad English
"Wind Beneath My Wings (From ""Beaches"")",Bette Midler,1989,"Wind Beneath My Wings (From ""Beaches"") Bette Midler"
(Can't Live Without Your) Love And Affection,Nelson,1990,(Can't Live Without Your) Love And Affection Nelson
All The Man That I Need,Whitney Houston,1990,All The Man That I Need Whitney Houston
Because I Love You (The Postman Song),Stevie B,1990,Because I Love You (The Postman Song) Stevie B
Black Velvet,Alannah Myles,1990,Black Velvet Alannah Myles
Close To You,Maxi Priest,1990,Close To You Maxi Priest
Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,1990,Gonna Make You Sweat (Everybody Dance Now) C+C Music Factory
Hold On,Wilson Phillips,1990,Hold On Wilson Phillips
I Don't Have The Heart,James Ingram,1990,I Don't Have The Heart James Ingram
"It Must Have Been Love (From ""Pretty Woman"")",Roxette,1990,"It Must Have Been Love (From ""Pretty Woman"") Roxette"
Love Takes Time,Mariah Carey,1990,Love Takes Time Mariah Carey
One More Try,Timmy T.,1990,One More Try Timmy T.
Release Me,Wilson Phillips,1990,Release Me Wilson Phillips
The First Time,Surface,1990,The First Time Surface
Vision Of Love,Mariah Carey,1990,Vision Of Love Mariah Carey
Vogue,Madonna,1990,Vogue Madonna
(Everything I Do) I Do It For You,Bryan Adams,1991,(Everything I Do) I Do It For You Bryan Adams
All 4 Love,Color Me Badd,1991,All 4 Love Color Me Badd
Baby Baby,Amy Grant,1991,Baby Baby Amy Grant
Cream,Prince And The N.P.G.,1991,Cream Prince And The N.P.G.
Emotions,Mariah Carey,1991,Emotions Mariah Carey
Good Vibrations,Marky Mark & The Funky Bunch Featuring Loleatta Holloway,1991,Good Vibrations Marky Mark & The Funky Bunch Featuring Loleatta Holloway
I Adore Mi Amor,Color Me Badd,1991,I Adore Mi Amor Color Me Badd
I Like The Way (The Kissing Game),Hi-Five,1991,I Like The Way (The Kissing Game) Hi-Five
I'm Too Sexy,Right Said Fred,1991,I'm Too Sexy Right Said Fred
More Than Words,Extreme,1991,More Than Words Extreme
Romantic,Karyn White,1991,Romantic Karyn White
Set Adrift On Memory Bliss,P.M. Dawn,1991,Set Adrift On Memory Bliss P.M. Dawn
To Be With You,Mr. Big,1991,To Be With You Mr. Big
Unbelievable,EMF,1991,Unbelievable EMF
When A Man Loves A Woman,Michael Bolton,1991,When A Man Loves A Woman Michael Bolton
A Whole New World (Aladdin's Theme),Peabo Bryson & Regina Belle,1992,A Whole New World (Aladdin's Theme) Peabo Bryson & Regina Belle
Baby Got Back,Sir Mix-A-Lot,1992,Baby Got Back Sir Mix-A-Lot
Baby-Baby-Baby,TLC,1992,Baby-Baby-Baby TLC
"End Of The Road (From ""Boomerang"")",Boyz II Men,1992,"End Of The Road (From ""Boomerang"") Boyz II Men"
How Do You Talk To An Angel,The Heights,1992,How Do You Talk To An Angel The Heights
I Will Always Love You,Whitney Houston,1992,I Will Always Love You Whitney Houston
I'll Be There,Mariah Carey,1992,I'll Be There Mariah Carey
If I Ever Fall In Love,Shai,1992,If I Ever Fall In Love Shai
Jump,Kris Kross,1992,Jump Kris Kross
My Lovin' (You're Never Gonna Get It),En Vogue,1992,My Lovin' (You're Never Gonna Get It) En Vogue
Rump Shaker,Wreckx-N-Effect,1992,Rump Shaker Wreckx-N-Effect
Save The Best For Last,Vanessa Williams,1992,Save The Best For Last Vanessa Williams
Tears In Heaven,Eric Clapton,1992,Tears In Heaven Eric Clapton
This Used To Be My Playground,Madonna,1992,This Used To Be My Playground Madonna
Under The Bridge,Red Hot Chili Peppers,1992,Under The Bridge Red Hot Chili Peppers
Again,Janet Jackson,1993,Again Janet Jackson
All For Love,Bryan Adams/Rod Stewart/Sting,1993,All For Love Bryan Adams/Rod Stewart/Sting
All That She Wants,Ace Of Base,1993,All That She Wants Ace Of Base
"Can't Help Falling In Love (From ""Sliver"")",UB40,1993,"Can't Help Falling In Love (From ""Sliver"") UB40"
Dreamlover,Mariah Carey,1993,Dreamlover Mariah Carey
Freak Me,Silk,1993,Freak Me Silk
Hero,Mariah Carey,1993,Hero Mariah Carey
I'd Do Anything For Love (But I Won't Do That),Meat Loaf,1993,I'd Do Anything For Love (But I Won't Do That) Meat Loaf
Informer,Snow,1993,Informer Snow
"Nuthin' But A ""G"" Thang",Dr. Dre,1993,"Nuthin' But A ""G"" Thang Dr. Dre"
Right Here (Human Nature)/Downtown,SWV,1993,Right Here (Human Nature)/Downtown SWV
That's The Way Love Goes,Janet Jackson,1993,That's The Way Love Goes Janet Jackson
The Power Of Love,Celine Dion,1993,The Power Of Love Celine Dion
Weak,SWV,1993,Weak SWV
Whoomp! (There It Is),Tag Team,1993,Whoomp! (There It Is) Tag Team
All I Wanna Do,Sheryl Crow,1994,All I Wanna Do Sheryl Crow
Another Night,Real McCoy,1994,Another Night Real McCoy
"Any Time, Any Place/And On And On",Janet Jackson,1994,"Any Time, Any Place/And On And On Janet Jackson"
Bump N' Grind,R. Kelly,1994,Bump N' Grind R. Kelly
Creep,TLC,1994,Creep TLC
Endless Love,Luther Vandross & Mariah Carey,1994,Endless Love Luther Vandross & Mariah Carey
"Here Comes The Hotstepper (From ""Ready To Wear"")",Ini Kamoze,1994,"Here Comes The Hotstepper (From ""Ready To Wear"") Ini Kamoze"
I Swear,All-4-One,1994,I Swear All-4-One
I'll Make Love To You,Boyz II Men,1994,I'll Make Love To You Boyz II Men
"I'll Remember (From ""With Honors"")",Madonna,1994,"I'll Remember (From ""With Honors"") Madonna"
On Bended Knee,Boyz II Men,1994,On Bended Knee Boyz II Men
"Regulate (From ""Above The Rim"")",Warren G & Nate Dogg,1994,"Regulate (From ""Above The Rim"") Warren G & Nate Dogg"
"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb & Nine Stories,1994,"Stay (I Missed You) (From ""Reality Bites"") Lisa Loeb & Nine Stories"
Take A Bow,Madonna,1994,Take A Bow Madonna
The Sign,Ace Of Base,1994,The Sign Ace Of Base
Don't Take It Personal (Just One Of Dem Days),Monica,1995,Don't Take It Personal (Just One Of Dem Days) Monica
"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",Whitney Houston,1995,"Exhale (Shoop Shoop) (From ""Waiting To Exhale"") Whitney Houston"
Fantasy,Mariah Carey,1995,Fantasy Mariah Carey
Freak Like Me,Adina Howard,1995,Freak Like Me Adina Howard
"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.,1995,"Gangsta's Paradise (From ""Dangerous Minds"") Coolio Featuring L.V."
Have You Ever Really Loved A Woman?,Bryan Adams,1995,Have You Ever Really Loved A Woman? Bryan Adams
Kiss From A Rose,Seal,1995,Kiss From A Rose Seal
Macarena (Bayside Boys Mix),Los Del Rio,1995,Macarena (Bayside Boys Mix) Los Del Rio
Missing,Everything But The Girl,1995,Missing Everything But The Girl
Nobody Knows,The Tony Rich Project,1995,Nobody Knows The Tony Rich Project
One Sweet Day,Mariah Carey & Boyz II Men,1995,One Sweet Day Mariah Carey & Boyz II Men
"Sittin' Up In My Room (From ""Waiting To Exhale"")",Brandy,1995,"Sittin' Up In My Room (From ""Waiting To Exhale"") Brandy"
This Is How We Do It,Montell Jordan,1995,This Is How We Do It Montell Jordan
Waterfalls,TLC,1995,Waterfalls TLC
You Are Not Alone,Michael Jackson,1995,You Are Not Alone Michael Jackson
Always Be My Baby,Mariah Carey,1996,Always Be My Baby Mariah Carey
"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion,1996,"Because You Loved Me (From ""Up Close & Personal"") Celine Dion"
C'mon N' Ride It (The Train),Quad City DJ's,1996,C'mon N' Ride It (The Train) Quad City DJ's
Don't Let Go (Love),En Vogue,1996,Don't Let Go (Love) En Vogue
Foolish Games/You Were Meant For Me,Jewel,1996,Foolish Games/You Were Meant For Me Jewel
How Do U Want It/California Love,2Pac Featuring K-Ci And JoJo,1996,How Do U Want It/California Love 2Pac Featuring K-Ci And JoJo
"I Believe I Can Fly (From ""Space Jam"")",R. Kelly,1996,"I Believe I Can Fly (From ""Space Jam"") R. Kelly"
I Love You Always Forever,Donna Lewis,1996,I Love You Always Forever Donna Lewis
It's All Coming Back To Me Now,Celine Dion,1996,It's All Coming Back To Me Now Celine Dion
No Diggity,BLACKstreet (Featuring Dr. Dre),1996,No Diggity BLACKstreet (Featuring Dr. Dre)
"Not Gon' Cry (From ""Waiting To Exhale"")",Mary J. Blige,1996,"Not Gon' Cry (From ""Waiting To Exhale"") Mary J. Blige"
Tha Crossroads,Bone Thugs-N-Harmony,1996,Tha Crossroads Bone Thugs-N-Harmony
Twisted,Keith Sweat,1996,Twisted Keith Sweat
Un-Break My Heart,Toni Braxton,1996,Un-Break My Heart Toni Braxton
You're Makin' Me High/Let It Flow,Toni Braxton,1996,You're Makin' Me High/Let It Flow Toni Braxton
4 Seasons Of Loneliness,Boyz II Men,1997,4 Seasons Of Loneliness Boyz II Men
Can't Nobody Hold Me Down,Puff Daddy (Featuring Mase),1997,Can't Nobody Hold Me Down Puff Daddy (Featuring Mase)
Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,1997,Candle In The Wind 1997/Something About The Way You Look Tonight Elton John
Honey,Mariah Carey,1997,Honey Mariah Carey
How Do I Live,LeAnn Rimes,1997,How Do I Live LeAnn Rimes
Hypnotize,The Notorious B.I.G.,1997,Hypnotize The Notorious B.I.G.
I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,1997,I'll Be Missing You Puff Daddy & Faith Evans Featuring 112
MMMBop,Hanson,1997,MMMBop Hanson
Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase,1997,Mo Money Mo Problems The Notorious B.I.G. Featuring Puff Daddy & Mase
Quit Playing Games (With My Heart),Backstreet Boys,1997,Quit Playing Games (With My Heart) Backstreet Boys
Return Of The Mack,Mark Morrison,1997,Return Of The Mack Mark Morrison
Together Again,Janet,1997,Together Again Janet
Truly Madly Deeply,Savage Garden,1997,Truly Madly Deeply Savage Garden
Wannabe,Spice Girls,1997,Wannabe Spice Girls
You Make Me Wanna...,Usher,1997,You Make Me Wanna... Usher
...Baby One More Time,Britney Spears,1998,...Baby One More Time Britney Spears
All My Life,K-Ci & JoJo,1998,All My Life K-Ci & JoJo
Angel Of Mine,Monica,1998,Angel Of Mine Monica
Believe,Cher,1998,Believe Cher
Doo Wop (That Thing),Lauryn Hill,1998,Doo Wop (That Thing) Lauryn Hill
Gettin' Jiggy Wit It,Will Smith,1998,Gettin' Jiggy Wit It Will Smith
Have You Ever?,Brandy,1998,Have You Ever? Brandy
I Don't Want To Miss A Thing,Aerosmith,1998,I Don't Want To Miss A Thing Aerosmith
Lately,Divine,1998,Lately Divine
My All,Mariah Carey,1998,My All Mariah Carey
My Heart Will Go On,Celine Dion,1998,My Heart Will Go On Celine Dion
Nice & Slow,Usher,1998,Nice & Slow Usher
The Boy Is Mine,Brandy & Monica,1998,The Boy Is Mine Brandy & Monica
The First Night,Monica,1998,The First Night Monica
Too Close,Next,1998,Too Close Next
Amazed,Lonestar,1999,Amazed Lonestar
Bailamos,Enrique Iglesias,1999,Bailamos Enrique Iglesias
"Bills, Bills, Bills",Destiny's Child,1999,"Bills, Bills, Bills Destiny's Child"
Genie In A Bottle,Christina Aguilera,1999,Genie In A Bottle Christina Aguilera
Heartbreaker,Mariah Carey Featuring Jay-Z,1999,Heartbreaker Mariah Carey Featuring Jay-Z
I Knew I Loved You,Savage Garden,1999,I Knew I Loved You Savage Garden
If You Had My Love,Jennifer Lopez,1999,If You Had My Love Jennifer Lopez
Livin' La Vida Loca,Ricky Martin,1999,Livin' La Vida Loca Ricky Martin
No Scrubs,TLC,1999,No Scrubs TLC
Say My Name,Destiny's Child,1999,Say My Name Destiny's Child
Smooth,Santana Featuring Rob Thomas,1999,Smooth Santana Featuring Rob Thomas
Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,1999,Thank God I Found You Mariah Carey Featuring Joe & 98 Degrees
Unpretty,TLC,1999,Unpretty TLC
What A Girl Wants,Christina Aguilera,1999,What A Girl Wants Christina Aguilera
Wild Wild West,Will Smith Featuring Dru Hill & Kool Mo Dee,1999,Wild Wild West Will Smith Featuring Dru Hill & Kool Mo Dee
All I Want For Christmas Is You,Mariah Carey,2000,All I Want For Christmas Is You Mariah Carey
Angel,Shaggy Featuring Rayvon,2000,Angel Shaggy Featuring Rayvon
Bent,matchbox twenty,2000,Bent matchbox twenty
Come On Over Baby (All I Want Is You),Christina Aguilera,2000,Come On Over Baby (All I Want Is You) Christina Aguilera
Doesn't Really Matter,Janet,2000,Doesn't Really Matter Janet
Everything You Want,Vertical Horizon,2000,Everything You Want Vertical Horizon
Incomplete,Sisqo,2000,Incomplete Sisqo
Independent Women Part I,Destiny's Child,2000,Independent Women Part I Destiny's Child
It Wasn't Me,"Shaggy Featuring Ricardo ""RikRok"" Ducent",2000,"It Wasn't Me Shaggy Featuring Ricardo ""RikRok"" Ducent"
It's Gonna Be Me,'N Sync,2000,It's Gonna Be Me 'N Sync
Maria Maria,Santana Featuring The Product G&B,2000,Maria Maria Santana Featuring The Product G&B
Ms. Jackson,OutKast,2000,Ms. Jackson OutKast
Music,Madonna,2000,Music Madonna
Try Again,Aaliyah,2000,Try Again Aaliyah
With Arms Wide Open,Creed,2000,With Arms Wide Open Creed
Ain't It Funny,Jennifer Lopez Featuring Ja Rule,2001,Ain't It Funny Jennifer Lopez Featuring Ja Rule
All For You,Janet,2001,All For You Janet
Always On Time,Ja Rule Featuring Ashanti,2001,Always On Time Ja Rule Featuring Ashanti
Bootylicious,Destiny's Child,2001,Bootylicious Destiny's Child
Butterfly,Crazy Town,2001,Butterfly Crazy Town
Fallin',Alicia Keys,2001,Fallin' Alicia Keys
Family Affair,Mary J. Blige,2001,Family Affair Mary J. Blige
Hanging By A Moment,Lifehouse,2001,Hanging By A Moment Lifehouse
How You Remind Me,Nickelback,2001,How You Remind Me Nickelback
I'm Real,Jennifer Lopez Featuring Ja Rule,2001,I'm Real Jennifer Lopez Featuring Ja Rule
In The End,Linkin Park,2001,In The End Linkin Park
Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & P!nk",2001,"Lady Marmalade Christina Aguilera, Lil' Kim, Mya & P!nk"
Stutter,Joe Featuring Mystikal,2001,Stutter Joe Featuring Mystikal
U Got It Bad,Usher,2001,U Got It Bad Usher
U Remind Me,Usher,2001,U Remind Me Usher
A Moment Like This,Kelly Clarkson,2002,A Moment Like This Kelly Clarkson
All I Have,Jennifer Lopez Featuring LL Cool J,2002,All I Have Jennifer Lopez Featuring LL Cool J
Beautiful,Christina Aguilera,2002,Beautiful Christina Aguilera
"Bump, Bump, Bump",B2K & P. Diddy,2002,"Bump, Bump, Bump B2K & P. Diddy"
Complicated,Avril Lavigne,2002,Complicated Avril Lavigne
Dilemma,Nelly Featuring Kelly Rowland,2002,Dilemma Nelly Featuring Kelly Rowland
Foolish,Ashanti,2002,Foolish Ashanti
Gangsta Lovin',Eve Featuring Alicia Keys,2002,Gangsta Lovin' Eve Featuring Alicia Keys
Hot In Herre,Nelly,2002,Hot In Herre Nelly
I Need A Girl (Part One),P. Diddy Featuring Usher & Loon,2002,I Need A Girl (Part One) P. Diddy Featuring Usher & Loon
Ignition,R. Kelly,2002,Ignition R. Kelly
Lose Yourself,Eminem,2002,Lose Yourself Eminem
What's Luv?,Fat Joe Featuring Ashanti,2002,What's Luv? Fat Joe Featuring Ashanti
Without Me,Eminem,2002,Without Me Eminem
Work It,"Missy ""Misdemeanor"" Elliott",2002,"Work It Missy ""Misdemeanor"" Elliott"
21 Questions,50 Cent Featuring Nate Dogg,2003,21 Questions 50 Cent Featuring Nate Dogg
Baby Boy,Beyonce Featuring Sean Paul,2003,Baby Boy Beyonce Featuring Sean Paul
Crazy In Love,Beyonce Featuring Jay Z,2003,Crazy In Love Beyonce Featuring Jay Z
Get Busy,Sean Paul,2003,Get Busy Sean Paul
Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,2003,Get Low Lil Jon & The East Side Boyz Featuring Ying Yang Twins
Hey Ya!,OutKast,2003,Hey Ya! OutKast
In Da Club,50 Cent,2003,In Da Club 50 Cent
Magic Stick,Lil' Kim Featuring 50 Cent,2003,Magic Stick Lil' Kim Featuring 50 Cent
Right Thurr,Chingy,2003,Right Thurr Chingy
